recordKey,portal,suchbegriff,titel,auftraggeber,frist,link,cpvCodes,beschreibung,veroeffentlichungsdatum,organisationLand,scrapedAt,reviewLabel,reviewScore,reviewReason,reviewProvider,reviewModel,reviewedAt
"https://ted.europa.eu/de/notice/-/detail/483000-2026","TED","Raumplanung","Deutschland – Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen – Stadt Neustadt an der Weinstraße - Rahmenplan Innerstadt Nord-West - Umfeld ehemaligen Hertie-Areals","Stadt Neustadt an der Weinstraße","","https://ted.europa.eu/de/notice/-/detail/483000-2026","71000000; 71400000","Stadt Neustadt an der Weinstraße - Rahmenplan Innerstadt Nord-West - Umfeld ehemaligen Hertie-Areals","2026-07-13","Deutschland","2026-07-13T09:24:14.028Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-be0f81c9-8548-4cf9-aeac-4dbb7cee153e","USP Bund","Projektmanagement","S1 Wiener Außenring Schnellstraße, 2. Verwirklichungsabschnitt Schwechat – Groß-Enzersdorf - Technische Projektsteuerung in der Planungs- und Ausschreibungsphase","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-be0f81c9-8548-4cf9-aeac-4dbb7cee153e","71500000; 71541000","","2026-07-13","Österreich","2026-07-13T09:24:28.778Z","ungeprueft","","","","",""
"https://ted.europa.eu/de/notice/-/detail/477952-2026","TED","Raumplanung","Deutschland – Dienstleistungen von Architektur-, Konstruktions- und Ingenieurbüros und Prüfstellen – Bundesstadt Bonn - Planungswettbewerb Zukunft Stadthaus - Areal in Bonn","Städtisches Gebäudemanagement","","https://ted.europa.eu/de/notice/-/detail/477952-2026","71000000; 71240000","Die Bundesstadt Bonn plant die umfassende Neugestaltung des Stadthaus-Areals am Berliner Platz in Bonn. Das in den 1970er Jahren vom Architekturbüro Heinle Wischer Partner errichtete Bestandsgebäude weist nach rund 50 Jahren erhebliche bauliche und technische Mängel auf. Aufgrund der Sanierungsbedürftigkeit und nach Klärung der städtebaulichen Zielsetzungen für das Areal hat der Rat der Bundesstadt Bonn in der Ratssitzung am 12.12.2024 den Grundsatzbeschluss für das Stadthaus-Areal gefasst, das Areal unter Erhalt und Kernsanierung wesentlicher Teile des Hochhausensembles mit integriertem Neubau zu entwickeln. Gemäß Ratsbeschluss soll ein städtebaulicher (planerischer) Wettbewerb durchgeführt werden. Der Umfang des Abbruch- und Neubauvolumens ist Gegenstand der Wettbewerbsaufgabe. Drei der fünf Türme des Ensembles sind aufgrund ihrer baulichen Beschaffenheit zu erhalten, die anderen zwei können baulich neu interpretiert werden. Ziel ist die Schaffung eines modernen Verwaltungsstandorts mit Rathaus-Funktion sowie ergänzenden Nutzungen zur Belebung des Quartiers. Das Projekt wird unter Berücksichtigung der Wiederherstellung der städtebaulichen Einbindung in die gründerzeitliche Nordstadt, des wertschätzenden Umgangs mit dem Bestand in Verbindung mit der Verbesserung der Adressfunktionen und Orientierung, der Beachtung des bestehenden Planungsrechts und der städtischen Klimaziele geplant und realisiert. Gesucht wird ein suffizienter Entwicklungsansatz für das Areal mit attraktiven, standortadäquaten öffentlichen Räumen, Maßnahmen zur Begrünung sowie hoher Aufenthaltsqualität und sozialer Kontrolle. ____________________ Die Vergabe der Planungsleistungen erfolgt im Wege eines VgV-Verhandlungsverfahrens mit vorgeschaltetem Planungswettbewerb. Der Planungswettbewerb wird als nichtoffener, anonymer einphasiger Realisierungswettbewerb nach RPW 2013 durchgeführt. Die Vergabe der Planungsleistungen erfolgt mit Blick auf die geforderte Integrale Planung als Gesamtleistungsauftrag (""Generalplanungsauftrag"") an einen Preisträger mit interdisziplinärem Planungsteam. Teilnehmen*innen am Wettbewerb sind Planungsteams der Fachrichtungen Architektur, Stadtplanung, Landschaftsarchitektur, Tragwerksplanung, Energie-, Klima- und Nachhaltigkeitskonzept und Brandschutz unter der Federführung der/des ausgewählten Bewerbers*in der Fachrichtung Architektur. Als Voraussetzung zur Teilnahme am Planungswettbewerb benennen die ausgewählten Bewerber*innen der Fachrichtung Architektur ihre Partner*innen der Fachrichtung Stadtplanung, Landschaftsarchitektur, Tragwerksplanung, Brandschutz sowie der Qualitätssicherung Energie-, Klima- und Nachhaltigkeitskonzept. Die Auftraggeberin beabsichtigt die Umsetzung des Projekts mit der BIM-Methodik. _______________________ Die Auslobung ist mit der Architektenkammer Nordrhein-Westfalen abgestimmt worden und unter der Registrier-Nummer W 22/25 registriert. Zusätzlich fand eine Abstimmung mit der Ingenieurkammer Bau Nordrhein-Westfalen statt. Die Auslobung wurde unter der Registrier-Nummer RPW - 2025/038 registriert. Die Wettbewerbssprache ist deutsch. _______________________ Terminschiene: Versand der digitalen Unterlagen: 17.12.2025, Rückfragefrist Schriftliche Rückfragen: 16.01.2026, bis 15:00 Uhr, Rückfragekolloquium:23.01.2026, Rückfragenfrist für Rückfragen: 13.03.2026, bis 15:00 Uhr, Abgabe der Pläne: 14.04.2026, bis 15.00 Uhr, Abgabe der Modelle: 28.04.2026, bis 15.00 Uhr, Preisgerichtssitzung: 28.05.2026, Ausstellungseröffnung: 12.06.2026, Verhandlungsgespräche: ab ca. 06.2026 _______________________ Weitere Informationen zum Bauvorhaben, zum Planungswettbewerb sowie dem anschließenden VgV-Verhandlungsverfahren sind den im elektronischen Projektraum bereitgestellten Verfahrensunterlagen, insbesondere der dort verfügbaren Projektbeschreibung zu entnehmen. .","2026-07-10","Deutschland","2026-07-13T09:24:14.028Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-681e023b-57ea-44db-892f-6241c266907d","USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung ITPMPE2021, Los 1, 4234154","Bundesrechenzentrum GmbH","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-681e023b-57ea-44db-892f-6241c266907d","79421000; 72200000","","2026-07-10","Österreich","2026-07-13T09:24:28.964Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_227986z_BVergG-VIII-2-Z1_949186","USP Bund","Projektmanagement","Projektmanagement im Bereich IKT-Projekte","SVD Büromanagement GmbH","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_227986z_BVergG-VIII-2-Z1_949186","79400000","","2026-07-10","Österreich","2026-07-13T09:24:29.150Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_227986z_BVergG-VIII-2-Z1_958539","USP Bund","Projektmanagement","Projektmanagement zu CRM Enterprise System","SVD Büromanagement GmbH","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_227986z_BVergG-VIII-2-Z1_958539","48445000","","2026-07-10","Österreich","2026-07-13T09:24:29.335Z","ungeprueft","","","","",""
"https://ted.europa.eu/de/notice/-/detail/474881-2026","TED","CPV 85312320-8 - Beratung","Deutschland – Beratungsdienste – Wissenschaftliche Begleitung, Forschung und Evaluation des Dienstleistungsauftrages Übergang-Schule-Beruf (ÜSB) durch Integrationsfachdienste (IFD) II","Zentrale Beschaffungsstelle des Landes Rheinland-Pfalz (ZBL) im Landesbetrieb Mobilität Rheinland-Pfalz","","https://ted.europa.eu/de/notice/-/detail/474881-2026","85312320; 85300000; 85310000; 85312000; 85312300","Vergabe einer Dienstleistung an einen Bieter zur wissenschaftlichen Begleitung, Forschung und Evaluation des Dienstleistungsauftrages Übergang-Schule-Beruf (ÜSB) durch Integrationsfachdienste (IFD).","2026-07-09","Deutschland","2026-07-13T09:24:08.062Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-a29ff3f4-8c28-446b-960e-e06949c94a90","USP Bund","Strategie","Erarbeitung der Mobilitätsstrategie 2040+","Auftraggeberin ist die Republik Österreich (Bund), vertreten durch den Bundesminister für Innovation, Mobilität und Infrastruktur","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-a29ff3f4-8c28-446b-960e-e06949c94a90","75000000","","2026-07-09","Österreich","2026-07-13T09:24:40.569Z","ungeprueft","","","","",""
"https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_71839_x_BVergG-VIII-2-Z1_657761","USP Bund","Strategie","Machbarkeitsstudie CORI","Österreichische Akademie der Wissenschaften","","https://ausschreibungen.usp.gv.at/at.gv.bmdw.eproc-p/public/tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_71839_x_BVergG-VIII-2-Z1_657761","71000000","","2026-07-09","Österreich","2026-07-13T09:24:40.757Z","ungeprueft","","","","",""
"https://ted.europa.eu/de/notice/-/detail/469552-2026","TED","CPV 90712100-2 - Umweltplanung","Deutschland – Stadtplanung und Landschaftsgestaltung – Planung einer klimaresilienter Natur- und Freizeitfläche mit Jugendbezug im Nuthepark in Potsdam","Landeshauptstadt Potsdam, Bereich Vergabemanagement","2026-07-20T23:59:59+02:00","https://ted.europa.eu/de/notice/-/detail/469552-2026","71400000; 71410000; 90712100; 90712000","Die Landeshauptstadt Potsdam beabsichtigt die Vergabe von Planungsleistungen von Freianlagen nach §§ 39 und 40 der HOAI 2021 für die Planung der teilweise brachliegenden öffentlichen Grünfläche Nuthepark (Teilfläche 2) zu einer klimaresillenten Natur- und Freizeitfläche mit Jugendbezug.","2026-07-08","Deutschland","2026-07-13T09:24:00.237Z","ungeprueft","","","","",""
